1	Nervous	NULL	0		NULL	NULL	NULL	123	196
2	Brain	The brain is the portion of the vertebrate central nervous system enclosed in the skull.  It is continuous with the spinal cord. It integrates sensory information from inside and outside the body, controls autonomic function (e.g., heartbeat and respiration), coordinates and directs motor responses, and is key to the process of learning.	0	ZDB-ANAT-010921-415	80	4	4192,2410	124	181
3	Forebrain	The forebrain (or prosencephalon) is the rostral-most of the three primary divisions of the developing vertebrate brain or the corresponding part of the adult brain that includes the cerebral hemispheres, thalamus, and hypothalamus. It is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions.	1	ZDB-ANAT-010921-534	81	2	2388,2372	125	156
4	Telencephalon	The telencephalon is the rostral subdivision of the embryonic forebrain or the corresponding part of the adult forebrain that includes the cerebral hemispheres and associated structures.	1	ZDB-ANAT-010921-498	65	2	1980,1292	146	155
5	Olfactory Bulb	The olfactory bulb, a bulbous projection of the olfactory lobe, is the place of termination of the olfactory nerves. It is the most rostral part of the brain, and is involved in olfaction.	1	ZDB-ANAT-011113-324	40	1	270,566	147	148
6	Pallium	The pallium is the mantle of grey matter forming the cerebral cortex. It functions chiefly in coordination of sensory and motor information.	1	ZDB-ANAT-070928-189	65	1	1772,1120	149	150
7	Subpallium	(or ventral telencephalon)	3	ZDB-ANAT-011113-232	65	1	1672,1372	151	154
8	Rostral Commissure	The rostral commissure is a band of nerve fibers connecting the two central hemispheres of the brain across the middle line.	0	ZDB-ANAT-050228-22	29	0	398,812	152	153
9	Diencephalon	The diencephalon is the caudal subdivision of the embryonic forebrain. It is located at the midline of the brain, above the mesencephalon of the brain stem. The diencephalon contains the thalamus and hypothalamus.	20	ZDB-ANAT-010921-524	14	1	1271,324	126	145
10	Habenula	The habenula is either of two nuclei, of which one lies on each side of the pineal gland under the corresponding trigonum habenulae. It is composed of two groups of nerve cells, is connected to its contralateral counterpart by the habenular commissure, and forms a correlation center for olfactory stimuli. The habenula relays impulses from limbic areas of the telencephalon to an unpaired midbrain nucleus, the interpeduncular nucleus.	20	ZDB-ANAT-011113-143	14	1	1141,202	141	144
11	Habenular Commissure	The habenular commissure is a band of nerve fibers situated in front of the pineal gland that connects the habenular nucleus on one side with its counterpart on the other.	3	ZDB-ANAT-011113-283	14	0	1143,304	142	143
12	Caudal Tuberculum	NULL	1	ZDB-ANAT-011113-560	NULL	NULL	NULL	127	140
13	Thalamus	The thalamus is the largest subdivision of the diencephalon. It consists chiefly of an ovoid mass of nuclei in each lateral wall of the third ventricle and serves to relay impulses, especially sensory impulses, to and from the cerebral cortex.	0	ZDB-ANAT-050711-29	65	2	2960,1183	138	139
14	Hypothalamus	The hypothalamus is a basal part of the diencephalon that lies beneath the thalamus on each side, forms the floor of the third ventricle, and includes vital autonomic regulatory centers. It is responsible for certain metabolic processes and other activities of the autonomic nervous system. The embryonic hypothalamic region gives rise to the caudal pituitary gland as well as a number of brain nuclei.	1	ZDB-ANAT-010921-443	29	1	866,788	128	137
15	Preoptic Region	The preoptic region (or preoptic area) is a region of the brain that is situated immediately below the rostral commissure, above the optic chiasm, and rostral to the hypothalamus. It regulates certain autonomic activities, often with the hypothalamus.	11	ZDB-ANAT-011113-395	29	1	692,782	135	136
16	Postoptic Commissure	NULL	1	ZDB-ANAT-010921-476	29	1	1188,802	133	134
17	Lateral Ventricular Recess	The lateral ventricular recess is a projection of the fourth ventricle.	0	ZDB-ANAT-011113-160	17	0	1574,896	131	132
18	Caudal Ventricular Recess	NULL	0		17	0	1376,988	129	130
19	Forebrain Midbrain Boundary	The forebrain midbrain boundary is the boundary between the diencephalon and the mesencephalon.	0	ZDB-ANAT-060131-41	39	1	1422,220	157	158
20	Midbrain	The midbrain is the middle division of the three primary divisions of the developing vertebrate brain or the corresponding part of the adult brain.	2	ZDB-ANAT-010921-555	43	1	812,224	173	180
21	Mesencephalon	NULL	1		43	1	812,224	174	179
22	Optic Tectum	The optic tectum is the roof of the midbrain, morphologically visible by the end of the segmentation period.	0	ZDB-ANAT-011113-37	43	1	812,224	175	176
23	Tegmentum	The tegmentum is the part of the ventral midbrain above the substantia nigra, formed of longitudinal white fibers with arched transverse fibers and gray matter.	10	ZDB-ANAT-010921-598	19	1	1347,460	177	178
24	Hindbrain	The hindbrain (or rhombencephalon) is the caudal division of the three primary divisions of the developing vertebrate brain or the corresponding part of the adult brain that includes the cerebellum, pons, and medulla oblongata. It controls autonomic functions and system equilibrium.	1	ZDB-ANAT-010921-440	43	2	1954,228	159	172
25	Myelencephalon	The myelencephalon is the caudal part of the developing vertebrate hindbrain or the corresponding part of the adult brain composed of the medulla oblongata.	1		43	1	2092,184	168	171
26	Medulla Oblongata	The medulla oblongata is the caudal-most portion of the brain, continuous with the spinal cord and enclosing the fourth ventricle. It contains various centers mediating the control of involuntary vital functions.	1	ZDB-ANAT-011113-466	43	1	2092,184	169	170
27	Metencephalon	The metencephalon is the rostral segment of the developing vertebrate hindbrain or the corresponding part of the adult brain composed of the cerebellum and pons.	1		43	1	1859,116	160	167
28	Cerebellum	The cerebellum is a large, dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium.	1	ZDB-ANAT-010921-522	43	1	1859,116	161	166
29	Valvula Cerebelli	NULL	1	ZDB-ANAT-011113-531	NULL	NULL	NULL	164	165
30	Corpus Cerebelli	NULL	0	ZDB-ANAT-011113-120	NULL	NULL	NULL	162	163
31	Spinal Cord	The spinal cord is the thick longitudinal cord of nervous tissue that extends along the back dorsal to the body and is enclosed in the vertebral canal formed by neural arches. It is continuous rostrally with the medulla oblongata, gives off at intervals pairs of spinal nerves to various parts of the trunk and limbs, serves as a pathway for nervous impulses to and from the brain, and serves as a center for carrying out and coordinating many reflex actions independently of the brain.  The spinal cord is composed largely of white matter arranged in columns and tracts of longitudinal fibers about a large central core of grey matter.	0	ZDB-ANAT-010921-494	32	0	9560,567	184	189
32	Lateral Line	The lateral line consists of small sensory patches (neuromasts) located superficially on the skin or just under the skin in fluid-filled canals on the head and body of all fishes and most amphibians. It develops from cranial ectodermal placodes situated behind the ear and between the eye and ear.	1	ZDB-ANAT-061101-13	59	0	1250,557	182	183
33	Grey Matter	Grey matter is neural tissue, especially of the brain and spinal cord, that contains cell bodies as well as nerve fibers. It has a brownish grey color and forms most of the cortex and nuclei of the brain, the columns of the spinal cord, and the bodies of ganglia.	2		32	0	9511,622	185	186
34	White Matter	White matter is neural tissue, especially of the brain and spinal cord, that consists largely of myelinated nerve fibers bundled into tracts. It has a whitish color, and typically underlies the grey matter.	1		32	0	9511,622	187	188
35	Otic Ganglion	The otic ganglion is a small parasympathetic ganglion that is associated with the mandibular nerve. It is located just below the foramen ovale of the sphenoid bone, receives preganglionic fibers from the glossopharyngeal nerve by way of the lesser petrosal nerve, and sends postganglionic fibers to the parotid gland by way of the auriculotemporal nerve.	1		14	0	996,997	194	195
36	Optic Chiasm	The optic chiasm is the X-shaped partial decussation on the undersurface of the hypothalamus through which the optic nerves are continuous with the brain.	1	ZDB-ANAT-011113-477	14	0	1134,945	190	191
37	Optic Nerve	An optic nerve is either of the pair of sensory nerves that comprise the second pair of cranial nerves, arise from the ventral part of the diencephalon, form an optic chiasm before passing to the eye and spreading over the rostral surface of the retina, and conduct visual stimuli to the brain.	1	ZDB-ANAT-011113-36	14	0	996,997	192	193
38	Respiratory/Circulatory	NULL	1		NULL	NULL	NULL	211	258
39	Heart	The heart is a hollow, four-chambered muscular organ that by rhythmic contraction acts as a force pump maintaining the circulation of the blood through the body. The four chambers composing the heart are the sinus venosus, the atrium, the ventricle, and the bulbus arteriosus.	0	ZDB-ANAT-010921-539	35	1	1714,830	230	243
40	Ventricle	The ventricle is a chamber of the heart that receives blood from the atrium and pumps it to the bulbus arterioisus.	3	ZDB-ANAT-010921-416	35	1	1714,830	241	242
41	Atrium	The atrium is a chamber of the heart that receives blood from the sinus venosus and pumps it to the ventricle.	2	ZDB-ANAT-011113-396	35	1	1714,830	233	234
42	Atrioventricular Valve	The atrioventricular valve is the junction between the atrium and the ventricle. It has four distinct leaflets oriented anterior, posterior, left, and right of the atrioventricular orifice.	0	ZDB-ANAT-060131-69	34	1	1552,620	231	232
43	Bulbus Arteriosus	The bulbus arteriosus is a pear-shaped chamber that functions as a capacitor, maintaining continuous blood flow into the gill arches. It has three distinct layers.	8195	ZDB-ANAT-011113-107	35	1	1714,830	237	238
44	Ventral Aorta	The ventral aorta is a large outflow artery from the heart to the aortic arches.	8194	ZDB-ANAT-011113-532	21	1	1030,1527	239	240
45	Bulboventricular Valve	The bulboventricular valve is the junction between the ventricle and the bulbus arteriosus.	10	ZDB-ANAT-060131-49	35	1	1714,830	235	236
46	Erythrocyte	An erythrocyte (or red blood cell) is a hemoglobin-containing cell responsible for transporting oxygen throughout the body.	0	ZDB-ANAT-070308-200	35	0	2000,1025	228	229
47	Epicardium	The epicardium is the visceral part of the pericardium that closely envelops the heart.	1	ZDB-ANAT-060131-63	35	0	2000,1025	226	227
48	Myocardium	The myocardium is the middle muscular layer of the heart wall.	1	ZDB-ANAT-051116-5	34	0	1700,857	246	247
49	Cardinal Vein	The cardinal vein is any of four longitudinal veins of the vertebrate embryo running rostrally and caudally along each side of the spinal column, with the pair on each side meeting at and discharging blood to the heart through the corresponding duct of Cuvier.	1		59	0	786,756	216	223
50	Central Cardinal Vein	NULL	1		58	0	750,1016	219	220
51	Common Cardinal Vein	The common cardinal vein (or duct of Cuvier) is either of a pair of large transverse venous sinuses that conduct blood from the cardinal veins to the sinus venosus. The rostral cardinal vein returns blood from the head, and the caudal cardinal vein returns blood from the trunk. These two vessels join together on each side as the common cardinal vein that leads across the yolk cell to the heart's sinus venosus.	0	ZDB-ANAT-011113-119	48	1	2320,964	221	222
